"ISO3","ISO2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","region"
"TGO","TG",1972,404950,2330704,1689,724.673746644791,0.173745786680763,"Africa"
"TON","TO",1972,21984,89275,136.404,1527.90814897788,0.246250350042005,"Asia and Oceania"
"TTO","TT",1972,8235500,1013031,7350.995,7256.43637756396,8.12956365599868,"America"
"TUN","TN",1972,4732500,5320148,7421.252,1394.93337403396,0.889542922490126,"Africa"
"TCA","TC",1972,0,5896,30.194,5121.09905020353,0,"America"
"UGA","UG",1972,1378400,10885563,4216.542,387.351761227233,0.126626431724294,"Africa"
"ARE","AE",1972,23434900,392368,38294.293,97597.9004404029,59.7268380703829,"Asia and Oceania"
"GBR","GB",1972,648026300,56238082,1179950.214,20981.3381260051,11.5229089782969,"Europe"
"USA","US",1972,4573015400,208067574,5625552.738,27037.1429331896,21.9785106928771,"America"
"URY","UY",1972,6069400,2821086,17205.543,6098.9076547117,2.15144096989599,"America"
"VUT","VU",1972,62288,92687,124.821,1346.69371109217,0.672025203102916,"Asia and Oceania"
"VEN","VE",1972,62514100,12061621,136419.456,11310.2091335816,5.18289374206004,"America"
"VNM","VN",1972,23034800,43906019,14748.915,335.92011610071,0.524638774469623,"Asia and Oceania"
"ZMB","ZM",1972,4061400,4523581,6045.112,1336.35542283868,0.897828512410853,"Africa"
"ZWE","ZW",1972,8215800,5532842,5751.759,1039.56682659653,1.48491498582464,"Africa"
"AFG","AF",1973,1635500,11575305,9072.495,783.780211406956,0.141292173294786,"Asia and Oceania"
"ALB","AL",1973,5286400,2520436,3638.042,1443.41772613945,2.09741489170921,"Europe"
"DZA","DZ",1973,38277400,14786469,40222.967,2720.25505210203,2.58867752673069,"Africa"
"AGO","AO",1973,4873700,6578230,30595.671,4651.04914239849,0.740883185902591,"Africa"
"ATG","AG",1973,329760,64463,354.851,5504.72363991747,5.11549260816282,"America"
"ARG","AR",1973,93975900,25020588,270843.977,10824.8446039717,3.75594290589813,"America"
"ABW","AW",1973,869460,59365,351.259,5916.93758948876,14.6460035374379,"America"
"AUS","AU",1973,170143800,13513318,347524.788,25717.206388542,12.5908233640324,"Asia and Oceania"
"AUT","AT",1973,60015500,7584023,158216.945,20861.8756826028,7.91341218242613,"Europe"
"BHS","BS",1973,7862700,193563,4848.812,25050.3040353787,40.6208831233242,"America"
"BHR","BH",1973,5518000,256632,6063.961,23629.0135291,21.50160541164,"Asia and Oceania"
"BGD","BD",1973,4549700,71144818,27434.961,385.621353335952,0.0639498438241841,"Asia and Oceania"
"BRB","BB",1973,479980,244643,2811.206,11491.0543117931,1.96196089812502,"America"
"BEL","BE",1973,138639200,9727980,200017.961,20561.0991182136,14.2515918001476,"Europe"
"BLZ","BZ",1973,146560,126875,287.677,2267.40492610837,1.15515270935961,"America"
"BEN","BJ",1973,381060,3227380,1545.319,478.815323885009,0.118071004963779,"Africa"
"BMU","BM",1973,425020,52925,3227.837,60988.8899385924,8.03060935285782,"America"
"BTN","BT",1973,3664,329800,107.811,326.898120072771,0.0111097634930261,"Asia and Oceania"
